stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
890254,890254,"Thuringowa Dr at Hinchinbrook Drive",, -19.308699, 146.732292,7,http://translink.com.au/stop/890254/gtfs/,0,,
890255,890255,"49 Thuringowa Dr at Thuringowa Drive",, -19.311888, 146.730200,7,http://translink.com.au/stop/890255/gtfs/,0,,
890256,890256,"Golf Links Dr near Nineteenth Ave",, -19.318219, 146.709160,7,http://translink.com.au/stop/890256/gtfs/,0,,
890257,890257,"Golf Links Dr at Woodlake Park Walkway",, -19.307769, 146.713685,7,http://translink.com.au/stop/890257/gtfs/,0,,
890258,890258,"Golf Links Dr at Sonata Place Walkway",, -19.305530, 146.717371,7,http://translink.com.au/stop/890258/gtfs/,0,,
890259,890259,"Opp 211 Thuringowa Drive near Mill Dr",, -19.293344, 146.737721,4,http://translink.com.au/stop/890259/gtfs/,0,,
890260,890260,"Bamford Lane at McBride Street",, -19.295528, 146.743095,4,http://translink.com.au/stop/890260/gtfs/,0,,
890261,890261,"Bamford Lane at Birrahlee Crescent",, -19.297644, 146.742013,4,http://translink.com.au/stop/890261/gtfs/,0,,
890262,890262,"Bamford Lane at Calalonia Street",, -19.301021, 146.741317,4,http://translink.com.au/stop/890262/gtfs/,0,,
890263,890263,"Bamford Lane at Parkside Plaza",, -19.303472, 146.741070,4,http://translink.com.au/stop/890263/gtfs/,0,,
890264,890264,"Charles St near Saderra Ct",, -19.304569, 146.741899,4,http://translink.com.au/stop/890264/gtfs/,0,,
890265,890265,"Charles St near Sabadell St",, -19.304774, 146.744257,4,http://translink.com.au/stop/890265/gtfs/,0,,
890266,890266,"Charles St at Tapiolas Avenue",, -19.303660, 146.746287,4,http://translink.com.au/stop/890266/gtfs/,0,,
890267,890267,"Charles St at Lerida Street",, -19.301725, 146.747454,4,http://translink.com.au/stop/890267/gtfs/,0,,
890268,890268,"Charles St at Ellimatta Avenue",, -19.298975, 146.749104,4,http://translink.com.au/stop/890268/gtfs/,0,,
890269,890269,"Charles St at Western Lions Park",, -19.296867, 146.750729,4,http://translink.com.au/stop/890269/gtfs/,0,,
890270,890270,"Charles St at Fitzroy Street",, -19.295842, 146.752271,4,http://translink.com.au/stop/890270/gtfs/,0,,
890271,890271,"Charles St at Cordelia Avenue",, -19.294484, 146.754290,4,http://translink.com.au/stop/890271/gtfs/,0,,
890272,890272,"Charles St at Lindeman Avenue",, -19.293852, 146.756461,4,http://translink.com.au/stop/890272/gtfs/,0,,
890273,890273,"Charles St at Brampton Avenue",, -19.293082, 146.759751,4,http://translink.com.au/stop/890273/gtfs/,0,,
890275,890275,"Fulham Rd at Parson Street",, -19.288050, 146.775529,4,http://translink.com.au/stop/890275/gtfs/,0,,
890276,890276,"Fulham Rd at Armit Street",, -19.288232, 146.777288,4,http://translink.com.au/stop/890276/gtfs/,0,,
890277,890277,"Fulham Rd at TAFE College",, -19.288579, 146.780745,4,http://translink.com.au/stop/890277/gtfs/,0,,
890278,890278,"Fulham Rd at Pimlico High School",, -19.288749, 146.782421,4,http://translink.com.au/stop/890278/gtfs/,0,,
890279,890279,"Park St at Mater Hospital",, -19.289118, 146.788248,2,http://translink.com.au/stop/890279/gtfs/,0,,
890280,890280,"Park St at Derby Street",, -19.284918, 146.788735,2,http://translink.com.au/stop/890280/gtfs/,0,,
890281,890281,"Ingham Rd at Echlin Street",, -19.267787, 146.796460,1,http://translink.com.au/stop/890281/gtfs/,0,,
890282,890282,"Ingham Rd at Church Street",, -19.268243, 146.800815,1,http://translink.com.au/stop/890282/gtfs/,0,,
890283,890283,"Walker St at Walker Street",, -19.259210, 146.814024,20,http://translink.com.au/stop/890283/gtfs/,0,,
890285,890285,"Railway Avenue near Seventh St",, -19.272456, 146.815485,1,http://translink.com.au/stop/890285/gtfs/,0,,
890286,890286,"Queens Rd at Queens Road Rail Crossing",, -19.278133, 146.814757,1,http://translink.com.au/stop/890286/gtfs/,0,,
890287,890287,"Queens Rd at Third Avenue",, -19.278515, 146.812799,1,http://translink.com.au/stop/890287/gtfs/,0,,
890288,890288,"Queens Rd at Ahearne St",, -19.280847, 146.807924,2,http://translink.com.au/stop/890288/gtfs/,0,,
890289,890289,"Queens Rd at Bicentennial Park",, -19.282911, 146.805474,2,http://translink.com.au/stop/890289/gtfs/,0,,
890290,890290,"Queens Rd at Clayton Street",, -19.285148, 146.802873,2,http://translink.com.au/stop/890290/gtfs/,0,,
890291,890291,"Queens Rd at Halloran Street",, -19.289217, 146.798097,2,http://translink.com.au/stop/890291/gtfs/,0,,
890292,890292,"Ross River Rd at Rising Sun",, -19.292023, 146.795067,2,http://translink.com.au/stop/890292/gtfs/,0,,
890293,890293,"Bowen Rd at Sweet Street",, -19.295551, 146.797302,2,http://translink.com.au/stop/890293/gtfs/,0,,
890294,890294,"Bowen Rd at Benson Street",, -19.297398, 146.798340,2,http://translink.com.au/stop/890294/gtfs/,0,,
890295,890295,"Bowen Rd at Touch Street",, -19.300418, 146.800100,2,http://translink.com.au/stop/890295/gtfs/,0,,
890296,890296,"Bowen Rd at Viles Street",, -19.302513, 146.801302,2,http://translink.com.au/stop/890296/gtfs/,0,,
890297,890297,"Stuart Dr at Watt Street",, -19.318502, 146.814180,3,http://translink.com.au/stop/890297/gtfs/,0,,
890298,890298,"Stuart Dr at Marconi Street",, -19.323555, 146.818471,3,http://translink.com.au/stop/890298/gtfs/,0,,
890299,890299,"Stuart Dr at Royal Street",, -19.326651, 146.821167,3,http://translink.com.au/stop/890299/gtfs/,0,,
890300,890300,"Stuart Dr at Culgoa Street",, -19.328535, 146.822781,3,http://translink.com.au/stop/890300/gtfs/,0,,
890301,890301,"Stuart Dr at Stuart Hotel",, -19.331479, 146.825296,3,http://translink.com.au/stop/890301/gtfs/,0,,
890302,890302,"Stuart Dr at Dunk Street",, -19.334114, 146.827642,3,http://translink.com.au/stop/890302/gtfs/,0,,
890303,890303,"Stuart Dr near Lowe St (Hail n Ride)",, -19.341031, 146.832859,3,http://translink.com.au/stop/890303/gtfs/,0,,
890304,890304,"Stuart Dr near Roe St (Hail n Ride)",, -19.344462, 146.834190,3,http://translink.com.au/stop/890304/gtfs/,0,,
890305,890305,"Stuart Dr near Gully St (Hail n Ride)",, -19.346196, 146.834926,3,http://translink.com.au/stop/890305/gtfs/,0,,
890306,890306,"Southwood Rd at Hunter Street",, -19.347527, 146.850212,3,http://translink.com.au/stop/890306/gtfs/,0,,
890307,890307,"Southwood Rd at Pretoria Street",, -19.347254, 146.847291,3,http://translink.com.au/stop/890307/gtfs/,0,,
890308,890308,"Southwood Rd at Mafeking Street",, -19.346767, 146.842432,3,http://translink.com.au/stop/890308/gtfs/,0,,
890309,890309,"Stuart Dr near Gully St (Hail n Ride)",, -19.346279, 146.834608,3,http://translink.com.au/stop/890309/gtfs/,0,,
890310,890310,"Stuart Dr near Roe St (Hail n Ride)",, -19.344581, 146.834091,3,http://translink.com.au/stop/890310/gtfs/,0,,
890311,890311,"Stuart Drive near Lowe St (Hail n Ride)",, -19.341038, 146.832685,3,http://translink.com.au/stop/890311/gtfs/,0,,
890312,890312,"Stuart Dr at Stuart Hotel",, -19.330997, 146.824510,3,http://translink.com.au/stop/890312/gtfs/,0,,
890313,890313,"Stuart Dr at Culgoa Street",, -19.328257, 146.822147,3,http://translink.com.au/stop/890313/gtfs/,0,,
890314,890314,"Stuart Dr at Royal Street",, -19.326565, 146.820793,3,http://translink.com.au/stop/890314/gtfs/,0,,
890315,890315,"Wright Street near Stuart Dr",, -19.325193, 146.819113,3,http://translink.com.au/stop/890315/gtfs/,0,,
890317,890317,"Macarthur Drv nr William Angliss Dr (Hail n Ride)",, -19.316732, 146.792579,3,http://translink.com.au/stop/890317/gtfs/,0,,
890318,890318,"Annandale Shopping Centre",, -19.316645, 146.791080,3,http://translink.com.au/stop/890318/gtfs/,0,,
890319,890319,"Macarthur Dr at Wave Hill Drive",, -19.314548, 146.790242,3,http://translink.com.au/stop/890319/gtfs/,0,,
890320,890320,"Annandale Dr at Indigo Crescent",, -19.311140, 146.783865,3,http://translink.com.au/stop/890320/gtfs/,0,,
890321,890321,"Annandale Dr at Boronia Drive",, -19.308306, 146.783468,3,http://translink.com.au/stop/890321/gtfs/,0,,
890322,890322,"Cypress Dr at Annandale Drive",, -19.307743, 146.782545,3,http://translink.com.au/stop/890322/gtfs/,0,,
890323,890323,"Cypress Dr at Jonquil Crescent",, -19.309802, 146.779881,3,http://translink.com.au/stop/890323/gtfs/,0,,
890324,890324,"Cypress Dr at Larkspur Crescent",, -19.311642, 146.778314,3,http://translink.com.au/stop/890324/gtfs/,0,,
890325,890325,"Cypress Dr at River Park Drive",, -19.313183, 146.776213,3,http://translink.com.au/stop/890325/gtfs/,0,,
890326,890326,"Yolanda Dr at Cypress Drive",, -19.314234, 146.774745,3,http://translink.com.au/stop/890326/gtfs/,0,,
890327,890327,"Yolanda Dr at Yolanda Drive Shops",, -19.314195, 146.772345,3,http://translink.com.au/stop/890327/gtfs/,0,,
890328,890328,"Yolanda Dr at Fardon Street",, -19.314918, 146.768391,3,http://translink.com.au/stop/890328/gtfs/,0,,
890329,890329,"Yolanda Dr at Marabou Drive",, -19.316175, 146.765902,3,http://translink.com.au/stop/890329/gtfs/,0,,
890330,890330,"Palmerston St at Ronan Street",, -19.286321, 146.764044,4,http://translink.com.au/stop/890330/gtfs/,0,,
890331,890331,"Palmerston St at Cambridge Street",, -19.279562, 146.769399,4,http://translink.com.au/stop/890331/gtfs/,0,,
890332,890332,"Palmerston St at Mcdougall Street",, -19.280592, 146.779526,2,http://translink.com.au/stop/890332/gtfs/,0,,
890333,890333,"Palmerston St at Gill Park",, -19.281042, 146.783857,2,http://translink.com.au/stop/890333/gtfs/,0,,
890334,890334,"Palmerston St at Pegnall Street",, -19.281448, 146.787754,2,http://translink.com.au/stop/890334/gtfs/,0,,
890335,890335,"Bayswater Rd at Fairley Street",, -19.276687, 146.794566,2,http://translink.com.au/stop/890335/gtfs/,0,,
890336,890336,"Bayswater Rd at Sussex Street",, -19.276961, 146.796985,2,http://translink.com.au/stop/890336/gtfs/,0,,
890337,890337,"Bayswater Rd at St Margaret Mary's College",, -19.277160, 146.798824,2,http://translink.com.au/stop/890337/gtfs/,0,,
890338,890338,"Charters Towers Rd at Oxford Street",, -19.276130, 146.800618,1,http://translink.com.au/stop/890338/gtfs/,0,,
890339,890339,"Charters Towers Rd at Somer Street",, -19.274854, 146.801526,1,http://translink.com.au/stop/890339/gtfs/,0,,
890340,890340,"Charters Towers Rd at Boundary Street",, -19.273035, 146.803437,1,http://translink.com.au/stop/890340/gtfs/,0,,
890341,890341,"Flinders St at Railway Station",, -19.268508, 146.806750,1,http://translink.com.au/stop/890341/gtfs/,0,,
890342,890342,"Flinders St at Knapp Street",, -19.267434, 146.808542,1,http://translink.com.au/stop/890342/gtfs/,0,,
890343,890343,"Flinders St at Fletcher Street",, -19.266397, 146.810268,1,http://translink.com.au/stop/890343/gtfs/,0,,
890344,890344,"Flinders St at Blackwood Street",, -19.263362, 146.813689,20,http://translink.com.au/stop/890344/gtfs/,0,,
890346,890346,"Flinders St at Railway Station",, -19.268714, 146.806824,1,http://translink.com.au/stop/890346/gtfs/,0,,
890347,890347,"Charters Towers Rd at Boundary Street",, -19.273059, 146.803838,1,http://translink.com.au/stop/890347/gtfs/,0,,
890348,890348,"Charters Towers Rd at Somer Street",, -19.275145, 146.801670,1,http://translink.com.au/stop/890348/gtfs/,0,,
890349,890349,"Bayswater Rd at St Margaret Mary's College",, -19.277312, 146.798758,2,http://translink.com.au/stop/890349/gtfs/,0,,
890350,890350,"Bayswater Rd at Sussex Street",, -19.277030, 146.795740,2,http://translink.com.au/stop/890350/gtfs/,0,,
890351,890351,"Palmerston St at Gill Park",, -19.281171, 146.784270,2,http://translink.com.au/stop/890351/gtfs/,0,,
890352,890352,"Palmerston St at McDougall Street",, -19.280634, 146.778913,2,http://translink.com.au/stop/890352/gtfs/,0,,
890354,890354,"Palmerston St at Cambridge Street",, -19.279736, 146.768307,4,http://translink.com.au/stop/890354/gtfs/,0,,
890355,890355,"Palmerston St at Ronan Street",, -19.286432, 146.764197,4,http://translink.com.au/stop/890355/gtfs/,0,,
890356,890356,"Yolanda Dr at Marabou Drive",, -19.316209, 146.765473,3,http://translink.com.au/stop/890356/gtfs/,0,,
890357,890357,"Yolanda Dr at Fardon Street",, -19.314548, 146.769060,3,http://translink.com.au/stop/890357/gtfs/,0,,
890358,890358,"Yolanda Dr at Yolanda Drive Shops",, -19.314039, 146.772533,3,http://translink.com.au/stop/890358/gtfs/,0,,
890359,890359,"Yolanda Dr at Cypress Drive",, -19.314085, 146.774513,3,http://translink.com.au/stop/890359/gtfs/,0,,
890360,890360,"Cypress Dr at River Park Drive",, -19.312905, 146.777057,3,http://translink.com.au/stop/890360/gtfs/,0,,
890361,890361,"Cypress Dr at Larkspur Crescent",, -19.310997, 146.778516,3,http://translink.com.au/stop/890361/gtfs/,0,,
890362,890362,"Cypress Dr at Jonquil Crescent",, -19.309347, 146.780266,3,http://translink.com.au/stop/890362/gtfs/,0,,
890363,890363,"Cypress Dr at Annandale Drive",, -19.307761, 146.782202,3,http://translink.com.au/stop/890363/gtfs/,0,,
890364,890364,"Annandale Dr at Boronia Drive",, -19.308497, 146.783631,3,http://translink.com.au/stop/890364/gtfs/,0,,
890365,890365,"Allen St at Tully Street",, -19.263964, 146.826672,1,http://translink.com.au/stop/890365/gtfs/,0,,
890366,890366,"Allen St at Nelson Street",, -19.265487, 146.830004,1,http://translink.com.au/stop/890366/gtfs/,0,,
890367,890367,"Hubert St at Boundary Street",, -19.268222, 146.829428,1,http://translink.com.au/stop/890367/gtfs/,0,,
890368,890368,"Boundary St at Bell Street",, -19.269160, 146.826389,1,http://translink.com.au/stop/890368/gtfs/,0,,
890369,890369,"Boundary St at Twelfth Avenue",, -19.270325, 146.820566,1,http://translink.com.au/stop/890369/gtfs/,0,,
890370,890370,"Boundary St at Tenth Avenue",, -19.270855, 146.817778,1,http://translink.com.au/stop/890370/gtfs/,0,,
890372,890372,"Putt Street near Eleventh Ave",, -19.277819, 146.818131,1,http://translink.com.au/stop/890372/gtfs/,0,,
890373,890373,"Robertson St near Doorey St (Hail and Ride)",, -19.279735, 146.821558,1,http://translink.com.au/stop/890373/gtfs/,0,,
